,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
0,"2 BHK Flat in Sector 104, Gurgaon","2 BHK Flat in Sector 104, Gurgaon",₹1.62 Cr,"₹14,740 /sqft",2.0,2.0,2 BHK,1099.0,"1,099 sqft",Super Built-up,26 floor,North-East,Ready To Move,,2.0,,Garden,"This 2 bhk flat is located in hero homes, which houses some of the most spacious flats in sector 104 gurgaon. This property faces the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1099 sq.Ft. The flat has a total of 26 floors and this property is situated on 11th floor. As the pr...",Hero Homes,Hero Homes,North-East Facing Private Garden,Flat
1,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹1.67 Cr,"₹9,010 /sqft",4.0,4.0,4 BHK,1848.0,"1,848 sqft",Super Built-up,,West,Ready To Move,,3.0,,,"Check out this 4 bhk apartment for sale in piedmont taksila heights, a popular residential project that houses in-Demand flats in sector 37c gurgaon. This is a north-West-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1848 sq.Ft. This flat lies on the 10th level of a 15 storey building. Being a ready to move pro...",Piedmont Taksila heights,Piedmont Taksila heights,"Alipne, Euro, Suncity...... Nearby Park Hospital Nearby",Flat
2,"4 BHK Flat in Sector 30, Gurgaon","4 BHK Flat in Sector 30, Gurgaon",₹15.5 Cr,"₹30,167 /sqft",4.0,4.0,4 BHK,5138.0,"5,138 sqft",Carpet,,North,Ready To Move,,3.0,,,"This residential flat is north-Facing direction. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 5138 sq.Ft. This flat lies on the 12th level of a 17 storey building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The beautifully designed marble flooring enhances the beauty of the flat....",Unitech The World Spa West,Unitech The World Spa West,North Facing Gated Society,Flat
3,"3 BHK Flat in Sector 89, Gurgaon","3 BHK Flat in Sector 89, Gurgaon",₹1.7 Cr,"₹9,714 /sqft",3.0,3.0,3 BHK,1750.0,"1,750 sqft",Built-up,,East,Under Construction,,,,"Parking, Garden",Low density and big room size on first floor with 2 parking,Ace Palm Floors,Ace Palm Floors,East Facing Private Garden,Flat
4,"4 BHK Flat in Sector 104, Gurgaon","4 BHK Flat in Sector 104, Gurgaon",₹3.8 Cr,"₹12,063 /sqft",4.0,4.0,4 BHK,3150.0,"3,150 sqft",Super Built-up,,,Ready To Move,,,,,Spacious 4 bhk apartment of 3150 sqft in ats triumph in sec 104 gurgaon,ATS Triumph,ATS Triumph,,Flat
5,"3 BHK Flat in Nirvana Country, Gurgaon","3 BHK Flat in Nirvana Country, Gurgaon",₹2.8 Cr,"₹14,917 /sqft",3.0,4.0,3 BHK,1877.0,"1,877 sqft",Super Built-up,,,Ready To Move,,,,,3 bhk with sq ready to move prime location park pool facing and sun facing balcony with all amenities prime location in nirvana country gurgaon,Unitech Fresco,Unitech Fresco,,Flat
6,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹2.1 Cr,"₹10,869 /sqft",4.0,4.0,4 BHK,1932.0,"1,932 sqft",Carpet,,,Ready To Move,,,,"Parking, Lift, Power Backup, Garden, Security, Play Area, Gated Community",Amenities Lift 247 security Power backup Gated community Reserved parking Childrens play area Landscaped gardens Why buy this property Large usable area (~1920 sq. Ft.) 4 bedrooms + 4 baths (Ideal for families) Strong resale & investment potential Excellent road & metro connectivity (Future growth) Detailed property description A well-Maintained and ready-To-Move 4 bhk flat available for resale...,Piedmont Taksila heights,Piedmont Taksila heights,,Flat
7,"4 BHK Flat in Sector 92, Gurgaon","4 BHK Flat in Sector 92, Gurgaon",₹2.3 Cr,"₹10,762 /sqft",4.0,4.0,4 BHK,2137.0,"2,137 sqft",Carpet,,,Ready To Move,,,,,"1. Very well furnished with wood work in living room, tv units, almirah and lofts 2. Modular kitchen with chimey, geyser and ro 3. Redone washrooms with tile work 4. Air conditioners installed in all rooms. This is your chance to a 4 bhk apartment / flat for sale in sare homes sector 92 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 4 bedr...",Sare Homes,Sare Homes,Gated Society Overlooking Park,Flat
8,"4 BHK Flat in Sector 113, Gurgaon","4 BHK Flat in Sector 113, Gurgaon",₹5 Cr,"₹18,796 /sqft",4.0,4.0,4 BHK,2660.0,"2,660 sqft",Super Built-up,10th floor,,Ready To Move,,3.0,,,"Looking for a 4 bhk jodi flat for sale in gurgaon? Buy this 4 bhk flat in la vida by tata housing that is situated in sector 113 gurgaon . Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2660 sq.Ft. This flat is situated on the 10th floor of these 14 floors tall residential building. This is a ready to move project and the proper...",La Vida by Tata Housing,La Vida by Tata Housing,,Flat
9,"4 BHK Flat in Sector 66, Gurgaon","4 BHK Flat in Sector 66, Gurgaon",₹7.3 Cr,"₹29,060 /sqft",4.0,3.0,4 BHK,2512.0,"2,512 sqft",Carpet,10th floor,,Under Construction,,,,"Swimming Pool, Gym","Located in smartworld the edition, sector 66, gurgaon, this under-Construction 4 bhk flat spans 2,512 sq.Ft. On the 10th floor of a 42-Story high-Rise. Featuring 4 bedrooms, 3 bathrooms, and access to a gym, swimming pool, and community center, it offers comfortable living with convenient connectivity to metro, schools, and shopping hubs. Available by 2029.",Smartworld The Edition,Smartworld The Edition,,Flat
10,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹5.3 Cr,"₹19,702 /sqft",3.0,3.0,3 BHK,2690.0,"2,690 sqft",Carpet,,North,Under Construction,,3.0,,,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in sector 69 gurgaon . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",Smartworld sky arc,Smartworld sky arc,North Facing Gated Society,Flat
11,"3 BHK Flat in Sector 1 Imt Manesar, Gurgaon","3 BHK Flat in Sector 1 Imt Manesar, Gurgaon",₹1.63 Cr,"₹9,020 /sqft",3.0,3.0,3 BHK,1807.0,"1,807 sqft",Super Built-up,8th floor,,Ready To Move,,,"Servant Room, Store Room",,"Exclusive 8th floor view: A 3-Side open unit offering the best vantage point in the society with panoramic, uninterrupted golf green views. Rare 5-Balcony configuration: Independent balconies for the living room, all 3 bedrooms, and the kitchen (Utility area), ensuring maximum light and cross-Ventilation. Full utility suite: 3 bedrooms + 1 dedicated store room + 1 servant room with separate ent...",MSL Apartments,MSL Apartments,Close to School Close to Market,Flat
