property_id,listing_type,property_name,society,rating,reviews,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,link,property_type,plot_area,plot_area_sqft,total_floors,open_sides,covered_area
87723610,Independent House,"12 Bedroom House in Jyoti Park, Gurgaon","12 Bedroom House in Jyoti Park, Gurgaon",N/A,N/A,₹3.35 Cr,"₹14,889 /sqft",12,12,12 BHK,2250,"2,250 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,"Parking, Park",Well maintained 3 story house. 6 units of 2bhk. 12 bedrooms and 12 bathrooms. Rented at 78k. Very good option for self stay and rental income as well. 3 car parkings inside.,"Jyoti Park, Gurgaon","Jyoti Park, Gurgaon",N/A,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-jyoti-park-gurgaon-2250-sq-ft-spid-Z87723610,House,N/A,N/A,,N/A,N/A
87717330,Independent House,"3 Bedroom House in Sector 46, Gurgaon","3 Bedroom House in Sector 46, Gurgaon",1,N/A,₹4 Cr,"₹44,444 /sqft",3,6,3 BHK,900,900 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,Park,Huda plot Very near to sector 46 huda market and park,"Sector 46, Gurgaon","Sector 46, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-46-gurgaon-900-sq-ft-spid-W87717330,House,N/A,N/A,,N/A,N/A
87715036,Independent House,"4 Bedroom House in Sector 57, Gurgaon","4 Bedroom House in Sector 57, Gurgaon",N/A,N/A,₹3.5 Cr,"₹7,778 /sqft",4,4,4 BHK,4500,"4,500 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"Luxurious 4+1 bhk builder floor for sale in sector 57 ansal floor For living family and good location for residence Mudular kitchen Recent renovated house In first floor by ansal sushant lok 2 Near sec 55-56 metro bedrooms study) with built-In wardrobe in each room. * bathrooms: 3 attached 1 common (Including walk-In shower, sink with storage cabinet, hot water geyser and toilet). * modular kit...",Ansal Florence Super,Ansal Florence Super,N/A,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansal-florence-super-sector-57-gurgaon-4500-sq-ft-spid-Z87715036,House,N/A,N/A,,N/A,N/A
83546312,Independent House,"5 Bedroom House in Sector 112, Gurgaon","5 Bedroom House in Sector 112, Gurgaon",N/A,N/A,₹9.25 Cr,"₹14,624 /sqft",5,5,5 BHK,6325,"6,325 sqft",Built-up,N/A,North,RESALE,N/A,,N/A,Garden,"The property is ready to move and one of the iconic property on dwarka expressway. I Spacious, airy plenty of green area. Near to airport, railway station and bus stand.",Experion Windchants,Experion Windchants,North Facing Private Garden,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-experion-windchants-sector-112-gurgaon-6325-sq-ft-spid-O83546312,House,N/A,N/A,,N/A,N/A
87672828,Independent House,"3 Bedroom House in Sohna, Gurgaon","3 Bedroom House in Sohna, Gurgaon",N/A,N/A,₹7.25 Cr,"₹44,753 /sqft",3,3,3 BHK,2250,"2,250 sqft",N/A,N/A,North-East,RESALE,N/A,,N/A,"Garden, Park","Fleur villas at central park flower valley, sector 33, sohna road, gurugram, redefine the meaning of luxury living by offering a rare blend of european elegance, modern architecture, expansive green landscapes, and resort-Style amenities. Designed for those who seek privacy, space, and exclusivity, fleur villas are a limited collection of ultra-Luxury independent villas crafted to deliver a lif...",Central Park Flower Valley Fleur Villas,Central Park Flower Valley Fleur Villas,North-East Facing Private Garden,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-central-park-flower-valley-fleur-villas-sohna-gurgaon-1980-sq-ft-spid-G87672828,House,N/A,N/A,,N/A,N/A
87669280,Independent House,"5 Bedroom House in Sector 56, Gurgaon","5 Bedroom House in Sector 56, Gurgaon",N/A,N/A,₹5 Cr,"₹34,408 /sqft",5,4,5 BHK,1453,"1,453 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,Well maintained 3 story indipendent house with very good rental potential.,"Sector 56, Gurgaon","Sector 56, Gurgaon",N/A,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-56-gurgaon-1453-sq-ft-spid-C87669280,House,N/A,N/A,,N/A,N/A
87605830,Independent House,"7 Bedroom House in Block-A, DLF City Phase 1, Gurgaon","7 Bedroom House in Block-A, DLF City Phase 1, Gurgaon",N/A,N/A,₹38 Cr,"₹84,444 /sqft",7,10,7 BHK,4500,"4,500 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"Low-Density exclusivity: Unlike the high-Rise clusters in newer phases, dlf phase 1 is characterized by low-Rise, low-Density housing including large bungalows and luxury independent floors. This provides more breathing space, wider tree-Lined roads, and a more peaceful environment. Customization & full ownership: Independent villas (Often built on plots ranging from 250 to 500+ sq. Yards) allo...","Block-A, DLF City Phase 1, Gurgaon","Block-A, DLF City Phase 1, Gurgaon",N/A,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-block-a-dlf-city-phase-1-gurgaon-4500-sq-ft-spid-E87605830,House,N/A,N/A,,N/A,N/A
87640598,Independent House,"3 Bedroom House in Shastri Nagar Industrial Area, Gurgaon","3 Bedroom House in Shastri Nagar Industrial Area, Gurgaon",N/A,N/A,₹1.2 Cr,"₹20,833 /sqft",3,3,3 BHK,576,576 sqft,N/A,2,N/A,RESALE,N/A,,N/A,N/A,64 sq yards independent 2 floor house for sale on dwarka expressway near nexa showroom sector 106 gurgaon. Property has on home loan so it will be clear before registry so buyer should be prepared to pay rs 40 lakh before registry or can be transfer loan to own name.,Dwarka Colony Sector 106 Gurgaon,Dwarka Colony Sector 106 Gurgaon,N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shastri-nagar-industrial-area-gurgaon-576-sq-ft-spid-L87640598,House,N/A,N/A,2.0,N/A,N/A
38583151,Independent House,"4 Bedroom House in Sector 82, Gurgaon","4 Bedroom House in Sector 82, Gurgaon",N/A,N/A,₹6.25 Cr,"₹23,148 /sqft",4,4,4 BHK,2700,"2,700 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,"Power Backup, Garden","Brand new unused villa available. Call growth realtech. For more info. Pls visit @ site address : Ab2-104, mapsko casa bella",Mapsko Casa Bella,Mapsko Casa Bella,Private Garden Full Power Backup,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-mapsko-casa-bella-sector-82-gurgaon-2700-sq-ft-r6-spid-Y38583151,House,N/A,N/A,,N/A,N/A
87556238,Independent House,"3 Bedroom House in Sector 4, Gurgaon","3 Bedroom House in Sector 4, Gurgaon",250,N/A,₹4.75 Cr,"₹21,111 /sqft",3,3,3 BHK,2250,"2,250 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,Park,"160/250/500 square all options available. Direct owner meeting, fair deal guaranteed. This option is north east facing 250 square yards 2.5 story made 8 bhk house in a gated locality just close to park, old house can be considered as plot in best location of sector 4. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. Contact us and give us an...","Sector 4, Gurgaon","Sector 4, Gurgaon",160/250/500 ALL OPTIONS AVLBLE Nearby STAR REAL ESTATE Nearby,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-2250-sq-ft-spid-H87556238,House,N/A,N/A,,N/A,N/A
87527682,Independent House,"4 Bedroom House in Sector 4, Gurgaon","4 Bedroom House in Sector 4, Gurgaon",250,N/A,₹6.5 Cr,"₹14,444 /sqft",4,4,4 BHK,4500,"4,500 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,Park,"160/250/500 square all options available. Direct owner meeting, fair deal guaranteed. This option is 500 square yards single story made 4 bhk house in a gated locality just close to park, well maintained house in best location of sector 4. All facilities are on walking distance such as park, market, school, bank, atm, hospital, chemist etc. Contact us and give us an opportunity to serve you and...","Sector 4, Gurgaon","Sector 4, Gurgaon",160/250/500 ALL OPTIONS AVLBLE Nearby STAR REAL ESTATE Nearby,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-4-gurgaon-4500-sq-ft-spid-J87527682,House,N/A,N/A,,N/A,N/A
87579070,Independent House,"4 Bedroom House in Shivaji Nagar, Gurgaon","4 Bedroom House in Shivaji Nagar, Gurgaon",N/A,N/A,₹7.6 Cr,"₹23,135 /sqft",4,4,4 BHK,3285,"3,285 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,Water Supply,"Very good location, east facing, near market, near petrol pump, near highway, broad street, municipality water supply, no water logging, very well located in the middle of the city & many more good things.","Shivaji Nagar, Gurgaon","Shivaji Nagar, Gurgaon",N/A,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-shivaji-nagar-gurgaon-3285-sq-ft-spid-N87579070,House,N/A,N/A,,N/A,N/A
87577682,Independent House,"22 Bedroom House in Patel Nagar, Gurgaon","22 Bedroom House in Patel Nagar, Gurgaon",N/A,N/A,₹6 Cr,"₹34,188 /sqft",22,22,22 BHK,1755,"1,755 sqft",N/A,5,N/A,RESALE,Semi Furnished,,N/A,"Parking, Park","It is new semi furnished building,22(1rk),22 bed,22 almirah all handmade by carpenter, 5 floor ,rooms with balcony, parking","Patel Nagar, Gurgaon","Patel Nagar, Gurgaon",N/A,https://www.99acres.com/22-bhk-bedroom-independent-house-villa-for-sale-in-patel-nagar-gurgaon-8775-sq-ft-spid-F87577682,House,N/A,N/A,5.0,N/A,N/A
87567698,Independent House,"9 Bedroom House in Sector 30, Gurgaon","9 Bedroom House in Sector 30, Gurgaon",N/A,N/A,₹3.75 Cr,"₹52,083 /sqft",9,9,9 BHK,720,720 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,N/A,"Sector 30, Gurgaon","Sector 30, Gurgaon",N/A,https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-sale-in-sector-30-gurgaon-720-sq-ft-spid-G87567698,House,N/A,N/A,,N/A,N/A
83789944,Independent House,"10 Bedroom House in Sector 33, Gurgaon","10 Bedroom House in Sector 33, Gurgaon",N/A,N/A,₹8.5 Cr,"₹18,814 /sqft",10,10,10 BHK,4518,"4,518 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"Are you planning to buy your dream home? You can consider this well-Built 10 bhk house for sale in sector 33 gurgaon and make it your new address. Another plus point for the house is that it is situated near close to metro station, close to school, close to hospital and close to market.",Unitech Uniworld Resorts,Unitech Uniworld Resorts,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4518-sq-ft-spid-G83789944,House,N/A,N/A,,N/A,N/A
87442264,Independent House,"2 Bedroom House in Mohan Nagar, Gurgaon","2 Bedroom House in Mohan Nagar, Gurgaon",N/A,N/A,₹1.08 Cr,"₹1,02,857 /sqft",2,2,2 BHK,105,105 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"2 minutes to sohna road, delhi - Mumbai highway, opp. Lemon tree hotel, near county touch resort, 5 minutes to aravali range.","Gali no 9, Defence colony Sohna road","Gali no 9, Defence colony Sohna road",N/A,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-mohan-nagar-gurgaon-105-sq-ft-spid-S87442264,House,N/A,N/A,,N/A,N/A
87365824,Independent House,"5 Bedroom House in Sector 15 Part 2, Gurgaon","5 Bedroom House in Sector 15 Part 2, Gurgaon",N/A,N/A,₹8.75 Cr,"₹36,967 /sqft",5,5,5 BHK,2367,"2,367 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,"Parking, Park",Gated lane.Spacious.Duplex.Well build.Basement maintained.Porch room separately build.Safe area.Noc already signed from both side neighbours.Drawing approved for stilt parking-And four floors construction .,"Sector 15 Part 2, Gurgaon","Sector 15 Part 2, Gurgaon",N/A,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-2367-sq-ft-spid-S87365824,House,N/A,N/A,,N/A,N/A
87379846,Independent House,"3 Bedroom House in Malibu Town, Gurgaon","3 Bedroom House in Malibu Town, Gurgaon",N/A,N/A,₹2.6 Cr,"₹48,148 /sqft",3,3,3 BHK,540,540 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,"Parking, Park","3 storey freehold building with 1bhk on each floor, rented to family. 2 side open property with good ventilation. Solid structure building. Parking available. Good parks nearby.","Malibu Town, Gurgaon","Malibu Town, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-malibu-town-gurgaon-540-sq-ft-spid-X87379846,House,N/A,N/A,3.0,N/A,N/A
87372818,Independent House,"3 Bedroom House in Urban Estate, Gurgaon","3 Bedroom House in Urban Estate, Gurgaon",N/A,N/A,₹12 Cr,"₹27,732 /sqft",3,3,3 BHK,4327,"4,327 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,Its a newly built independent villa in sector 4 near jeevan jyoti school,"Urban Estate, Gurgaon","Urban Estate, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urban-estate-gurgaon-4327-sq-ft-spid-Q87372818,House,N/A,N/A,,N/A,N/A
87230880,Independent House,"3 Bedroom House in Sector 70A, Gurgaon","3 Bedroom House in Sector 70A, Gurgaon",N/A,N/A,₹2.5 Cr,"₹16,835 /sqft",3,3,3 BHK,1485,"1,485 sqft",Covered,N/A,N/A,RESALE,N/A,2.0,N/A,"Parking, Garden, Park","This 3 bhk house for sale in sector 70a gurgaon is an ideal abode for a family. Even better, it is situated in one of the prominent localities of gurgaon. Constructed on a super built up area of 179 sq.Yards, this house comprises 3 bedrooms, 3 bathrooms and 2 balconies. There is 1 covered parking available with this house. Another added advantage of this 0-1 year old house is that it is availab...",BPTP Astaire Gardens,BPTP Astaire Gardens,N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-bptp-astaire-gardens-sector-70a-gurgaon-13500-sq-ft-spid-E87230880,House,N/A,N/A,,N/A,N/A
87280338,Independent House,"8 Bedroom House in G block DLF City Phase 1, Gurgaon","8 Bedroom House in G block DLF City Phase 1, Gurgaon",N/A,N/A,₹14.5 Cr,"₹40,278 /sqft",8,8,8 BHK,3600,"3,600 sqft",N/A,N/A,North-East,RESALE,N/A,,N/A,"Parking, Garden, Park","Available for sale 400 yards independent house in dlf phase 1,gurgaon. Its a semifurnished floor wise villa with excellent wooden work and modular kitchen and comes with ample car parking space. Plot direction is north east and gets ample natural sun light.","G block DLF City Phase 1, Gurgaon","G block DLF City Phase 1, Gurgaon",North-East Facing Private Garden,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-g-block-dlf-city-phase-1-gurgaon-3150-sq-ft-spid-R87280338,House,N/A,N/A,,N/A,N/A
78505077,Independent House,"12 Bedroom House in Sector 42, Gurgaon","12 Bedroom House in Sector 42, Gurgaon",N/A,N/A,₹11.1 Cr,"₹18,974 /sqft",12,11,12 BHK,1879,"1,879 sqft",N/A,4,N/A,RESALE,N/A,,N/A,"Parking, Park","Basement+4 floors (3bhk each) corner house on 18m sector road, oc in 2023, 5 open parking, 100m from golf course road, original owner, walking to rapid metro and godrej gcr.","Sector 42, Gurgaon","Sector 42, Gurgaon",N/A,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-42-gurgaon-6300-sq-ft-r2-spid-V78505077,House,N/A,N/A,4.0,N/A,N/A
87285970,Independent House,"6 Bedroom House in Sector 40, Gurgaon","6 Bedroom House in Sector 40, Gurgaon",N/A,N/A,₹6 Cr,"₹39,920 /sqft",6,7,6 BHK,1548,"1,548 sqft",N/A,3,N/A,RESALE,N/A,,N/A,N/A,"Independent house , 3 floors built few years back","Sector 40, Gurgaon","Sector 40, Gurgaon",N/A,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-1548-sq-ft-spid-H87285970,House,N/A,N/A,3.0,N/A,N/A
87201416,Independent House,"4 Bedroom House in Sector 40, Gurgaon","4 Bedroom House in Sector 40, Gurgaon",N/A,N/A,₹2.75 Cr,"₹50,925 /sqft",4,4,4 BHK,540,540 sqft,N/A,3,N/A,RESALE,N/A,,N/A,N/A,Basement+ground+3 floors built up property with 1 bhk on each floor Excellent location near sector 40 huda market and main road Greenwood city sector 40 gurgaon 60 square yards Total rent 1 lakh per month,"Sector 40, Gurgaon","Sector 40, Gurgaon",N/A,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sector-40-gurgaon-540-sq-ft-spid-T87201416,House,N/A,N/A,3.0,N/A,N/A
87190252,Independent House,"2 Bedroom House in Bhondsi, Gurgaon","2 Bedroom House in Bhondsi, Gurgaon",N/A,N/A,₹1.08 Cr,"₹10,800 /sqft",2,2,2 BHK,1077,"1,077 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,"Parking, Park","2 rooms, 2 washrooms, 1 kitchen, 1 parking area, near rbsm public school","Bhondsi, Gurgaon","Bhondsi, Gurgaon",N/A,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-bhondsi-gurgaon-1077-sq-ft-spid-M87190252,House,N/A,N/A,,N/A,N/A
86988348,Independent House,"8 Bedroom House in Sector 43, Gurgaon","8 Bedroom House in Sector 43, Gurgaon",N/A,N/A,₹3.25 Cr,"₹59,198 /sqft",8,8,8 BHK,549,549 sqft,N/A,N/A,N/A,RESALE,Fully Furnished,,N/A,Park,"8 sets of 1 rk 2 side open property with a park at back . Fully furnished with all rooms having split ac's , fridge, tv,wardrobes Each room having balcony Well maintained.","Sector 43, Gurgaon","Sector 43, Gurgaon",N/A,https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-43-gurgaon-549-sq-ft-spid-R86988348,House,N/A,N/A,,N/A,N/A
