property_id,listing_type,property_name,society,rating,reviews,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,link,property_type,plot_area,plot_area_sqft,total_floors,open_sides,covered_area
87934462,Independent House,"7 Bedroom House in DLF Phase 1, Gurgaon","7 Bedroom House in DLF Phase 1, Gurgaon",N/A,N/A,₹40 Cr,"₹42,105 /sqft",7,8,7 BHK,9500,"9,500 sqft",Built-up,N/A,North-East,RESALE,N/A,,N/A,Garden,"500 sq yards luxury villa for sale in dlf phase 1 gurgaon Property features: Bedrooms: 7 luxurious bedrooms with attached bathrooms, offering ultimate comfort. Living areas: Expansive living and dining areas with high ceilings, large windows, and premium flooring. Kitchen: Fully equipped modular kitchen with high-End appliances, ample storage, and sleek finishes. Outdoor space: Private garden, ...",Independent Villa,Independent Villa,North-East Facing Private Garden,https://www.99acres.com/7-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-9500-sq-ft-spid-C87934462,House,N/A,N/A,,N/A,N/A
60804632,Independent House,"6 Bedroom House in Greenwood City, Gurgaon","6 Bedroom House in Greenwood City, Gurgaon",N/A,N/A,₹33 Cr,"₹35,599 /sqft",6,7,6 BHK,9270,"9,270 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,Lift,"Nss realtor presents you this two-Side open 1030 sq yd house (All top of the line furniture) in unitech greenwood city gated vicinity. Based on the prestigious golf course road and having a decade long experience, nss realtor will give you all confirmed and genuine real-Estate deals with utmost transparency and clarity. House description: 1030 sq yd 6br luxurious mansion with lift. Bst+gr+1st (...","Greenwood City, Gurgaon","Greenwood City, Gurgaon",N/A,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-greenwood-city-gurgaon-9270-sq-ft-r2-spid-D60804632,House,1030 sq yd,9270,,N/A,N/A
83784738,Independent House,"6 Bedroom House in Sector 81, Gurgaon","6 Bedroom House in Sector 81, Gurgaon",N/A,N/A,₹14 Cr,"₹3,11,111 /sqft",6,6,6 BHK,450,450 sqft,N/A,N/A,N/A,RESALE,N/A,,N/A,"Garden, Park","Independent villa An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in bestech park view grand spa, sector 81 gurgaon, haryana which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation tha...",Bestech Park View Grand Spa,Bestech Park View Grand Spa,Private Garden,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-7000-sq-ft-r1-spid-V83784738,House,N/A,N/A,,N/A,N/A
88716024,Independent House,"11 Bedroom House in Block C South city 1, Gurgaon","11 Bedroom House in Block C South city 1, Gurgaon",N/A,N/A,₹22.51 Cr,"₹49,724 /sqft",11,11,11 BHK,4527,"4,527 sqft",N/A,N/A,South,RESALE,N/A,,N/A,"Parking, Garden, Park","Premium kothi c-1 at an unmatched location. This three-Side open plot offers beautiful lake and park views. There is ample parking space in front of the plot, thanks to the green patti (Green belt). Plot no. 1 is truly unique and luxurious, making it an exceptional choice for a premium home.","Block C South city 1, Gurgaon","Block C South city 1, Gurgaon",Private Garden,https://www.99acres.com/11-bhk-bedroom-independent-house-villa-for-sale-in-block-c-south-city-1-gurgaon-4527-sq-ft-spid-O88716024,House,N/A,N/A,,N/A,N/A
87566764,Independent House,"3 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon","3 Bedroom House in Sushant Lok 2,Sector 55, Gurgaon",N/A,N/A,₹2.8 Cr,"₹51,852 /sqft",3,2,3 BHK,540,540 sqft,N/A,N/A,N/A,RESALE,N/A,1.0,N/A,"Parking, Park","Planning to buy an individual house in gurgaon. Then you should definitely check out this 3 bhk house for sale in sushant lok 2,sector 55 gurgaon, a well-Planned and well-Connected locality in gurgaon. This house occupies a super built up area of 60 sq.Yards and contains 3 bedrooms, 2 bathrooms and 1 balcony. The owner of the house also gets 1 open parking slot(s) to park their car safely. This...","Sushant Lok 2,Sector 55, Gurgaon","Sushant Lok 2,Sector 55, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-2-sector-55-gurgaon-540-sq-ft-spid-N87566764,House,N/A,N/A,,N/A,N/A
87023798,Independent House,"4 Bedroom House in Sector 86, Gurgaon","4 Bedroom House in Sector 86, Gurgaon",N/A,N/A,₹5.5 Cr,"₹30,556 /sqft",4,6,4 BHK,1800,"1,800 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in dlf new town heights 2, sector 86 gurgaon, haryana which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfort. Basi...",DLF New Town Heights 2,DLF New Town Heights 2,N/A,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1800-sq-ft-spid-D87023798,House,N/A,N/A,,N/A,N/A
87056556,Independent House,"10 Bedroom House in South City, Gurgaon","10 Bedroom House in South City, Gurgaon",N/A,N/A,₹10 Cr,"₹30,864 /sqft",10,10,10 BHK,3240,"3,240 sqft",N/A,N/A,North-East,RESALE,N/A,,N/A,N/A,"17 rooms property,corner plot built up ,near to market. Huda city centre only 5 min walk Gated society Posh locality Best for pg and builder floors On 12 mtr road","South City, Gurgaon","South City, Gurgaon",North-East Facing,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-south-city-gurgaon-3240-sq-ft-spid-K87056556,House,N/A,N/A,,N/A,N/A
87173340,Independent House,"3 Bedroom House in Sector 45, Gurgaon","3 Bedroom House in Sector 45, Gurgaon",N/A,N/A,₹8 Cr,"₹44,444 /sqft",3,3,3 BHK,1800,"1,800 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,Well maintained good location distance from 200mtr. Sector road 52,"Sector 45, Gurgaon","Sector 45, Gurgaon",N/A,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-45-gurgaon-1800-sq-ft-spid-J87173340,House,N/A,N/A,,N/A,N/A
86862494,Independent House,"16 Bedroom House in Sector 47, Gurgaon","16 Bedroom House in Sector 47, Gurgaon",N/A,N/A,₹22.5 Cr,"₹49,019 /sqft",16,20,16 BHK,4590,"4,590 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,"Offering immediate possession, this spacious 16 bhk independent villa in sector 47, gurgaon spans 4590 sq.Ft. With 16 bedrooms and 20 bathrooms, the nearly new property features fresh construction and modern finishes. Nearby essentials include raheja mall, multiple atms, and top hospitals, ensuring both convenience and comfort.","Sector 47, Gurgaon","Sector 47, Gurgaon",N/A,https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-sector-47-gurgaon-4590-sq-ft-spid-D86862494,House,N/A,N/A,,N/A,N/A
87447778,Independent House,"2 Bedroom House in Block C Palam Vihar, Gurgaon","2 Bedroom House in Block C Palam Vihar, Gurgaon",N/A,N/A,₹4.25 Cr,"₹27,296 /sqft",2,2,2 BHK,1557,"1,557 sqft",N/A,N/A,N/A,RESALE,N/A,,N/A,N/A,Independent house for sale in palam vihar. Close to palam vihar vyapar kendra,"Block C Palam Vihar, Gurgaon","Block C Palam Vihar, Gurgaon",SCR SCHOOL Nearby Palam vihar vyapar kendra Nearby,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-block-c-palam-vihar-gurgaon-1557-sq-ft-spid-K87447778,House,N/A,N/A,,N/A,N/A
