property_id,property_name,rating,price,area,area_with_type,configuration,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,society,address,nearby_location,link
X88050704,"3 BHK Flat in Sector 75, Noida",N/A,"₹3.1 Cr
₹18,719 /sqft",1656,"1,656 sqft",3 BHK,28 floor,North,Ready to move,N/A,3 balcon,N/A,N/A,Ivy county sector 75 noida is one of noida's most sought after destination for apartments and this 3 bhk flat in sector 75 noida is your opportunity to be a part of this community. The flat is north-E,N/A,ivy county sector 75 noida,"Highlights :
North-East Facing
Newly Constructed
+2",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
,"3 BHK Flat in Sector 75, Noida",N/A,"₹3.1 Cr
₹18,719 /sqft",1656,"1,656 sqft",3 BHK,28 floor,North,Ready to move,N/A,3 balcon,N/A,N/A,Ivy county sector 75 noida is one of noida's most sought after destination for apartments and this 3 bhk flat in sector 75 noida is your opportunity to be a part of this community. The flat is north-E,N/A,ivy county sector 75 noida,"Highlights :
North-East Facing
Newly Constructed
+2",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
AI_LISTING,"3 BHK Flat in Sector 75, Noida",N/A,"₹3.1 Cr
₹18,719 /sqft",1656,"1,656 sqft",3 BHK,28 floor,North,Ready to move,N/A,3 balcon,N/A,N/A,Ivy county sector 75 noida is one of noida's most sought after destination for apartments and this 3 bhk flat in sector 75 noida is your opportunity to be a part of this community. The flat is north-E,N/A,ivy county sector 75 noida,"Highlights :
North-East Facing
Newly Constructed
+2",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
,"3 BHK Flat in Sector 75, Noida",N/A,"₹3.1 Cr
₹18,719 /sqft",1656,"1,656 sqft",3 BHK,28 floor,North,Ready to move,N/A,3 balcon,N/A,N/A,Ivy county sector 75 noida is one of noida's most sought after destination for apartments and this 3 bhk flat in sector 75 noida is your opportunity to be a part of this community. The flat is north-E,N/A,ivy county sector 75 noida,"Highlights :
North-East Facing
Newly Constructed
+2",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
,"3 BHK Flat in Sector 75, Noida",N/A,N/A,N/A,N/A,3 BHK,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,ivy county sector 75 noida,N/A,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
,"3 BHK Flat in Sector 75, Noida",N/A,N/A,N/A,N/A,3 BHK,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,ivy county sector 75 noida,N/A,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-75-noida-1656-sq-ft-spid-X88050704
,N/A,N/A,"₹3.1 Cr
₹18,719 /sqft",1656,"1,656 sqft",3 BHK,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,North,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Highlights :
North-East Facing
Newly Constructed
+2",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,North,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Highlights :
North-East Facing
Newly Constructed
+2",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,North,New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Highlights :,N/A
srp_tuple_description,N/A,N/A,N/A,1656,1656 sq.Ft,3 bhk,28 floor,East,N/A,N/A,3 balcon,N/A,N/A,Ivy county sector 75 noida is one of noida's most sought after destination for apartments and this 3 bhk flat in sector 75 noida is your opportunity to be a part of this community. The flat is north-E,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
V80251109,"10 Bedroom House in Sector 14, Noida",N/A,"₹7 Cr
₹36,129 /sqft",1937,"1,937 sqft",10 BHK,5 floor,N/A,Ready to move,N/A,N/A,N/A,N/A,Sector 14 noida 180 meter kothi for sale on 12 m road basement + 2.5 floor constructed north east facing,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
,"10 Bedroom House in Sector 14, Noida",N/A,"₹7 Cr
₹36,129 /sqft",1937,"1,937 sqft",10 BHK,5 floor,N/A,Ready to move,N/A,N/A,N/A,N/A,Sector 14 noida 180 meter kothi for sale on 12 m road basement + 2.5 floor constructed north east facing,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
AI_LISTING,"10 Bedroom House in Sector 14, Noida",N/A,"₹7 Cr
₹36,129 /sqft",1937,"1,937 sqft",10 BHK,5 floor,N/A,Ready to move,N/A,N/A,N/A,N/A,Sector 14 noida 180 meter kothi for sale on 12 m road basement + 2.5 floor constructed north east facing,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
,"10 Bedroom House in Sector 14, Noida",N/A,"₹7 Cr
₹36,129 /sqft",1937,"1,937 sqft",10 BHK,5 floor,N/A,Ready to move,N/A,N/A,N/A,N/A,Sector 14 noida 180 meter kothi for sale on 12 m road basement + 2.5 floor constructed north east facing,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
,"10 Bedroom House in Sector 14, Noida",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
,"10 Bedroom House in Sector 14, Noida",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Resale,N/A,N/A,N/A,N/A,N/A,N/A,Authority Plots & Kothi,N/A,https://www.99acres.com/10-bhk-bedroom-independent-house-villa-for-sale-in-sector-14-noida-1935-sq-ft-r3-spid-V80251109
,N/A,N/A,"₹7 Cr
₹36,129 /sqft",1937,"1,937 sqft",10 BHK,N/A,N/A,Ready to move,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
srp_tuple_description,N/A,N/A,N/A,N/A,N/A,N/A,5 floor,N/A,N/A,N/A,N/A,N/A,N/A,Sector 14 noida 180 meter kothi for sale on 12 m road basement + 2.5 floor constructed north east facing,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,"3, 4, 5 BHK Apartment in Sector 115, Noida",N/A,"3 BHK Apartment
₹3.56 - 4.61 Cr",6939,"6,939 sqft",5 BHK,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,"Finest 3,4,5 BHK apartments in Sector 115 available for sale in Ivory County. This society is RERA approved and UPRERAPRJ256314 is the RERA number. Apartments in this complex are available in price ra","Under Construction · Completion from Jul, 2028 onwards
1/6
Ivory County
NEW BOOKING
3, 4, 5 BHK Apartment in Sector 115, Noida
3 BHK Apartment
₹3.56 - 4.61 Cr
4 BHK Apartment
₹5.45 - 9.41 Cr
5 BHK Apartment
₹13.88 Cr
Nearby :
FNG Expressway
Apex Multispeciality Hospital
+3

Finest 3,4,5 BHK apartments in Sector 115 available for sale in Ivory County. This society is RERA approved and UPRERAPRJ256314 is the RERA number. Apartments in this complex are available in price range of Rs. 3.56 - 13.88 Cr. Ivory County apartments are available in multiples sizes, ranging from 2,034 - 6,939 sqft SUPER area",N/A,"Nearby :
FNG Expressway
Apex Multispeciality Hospital
+3",https://www.99acres.com/ivory-county-sector-115-noida-npxid-r400436
tuple_srp_2_null,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Under Construction,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Nearby :
FNG Expressway
Apex Multispeciality Hospital
+3",N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nearby :,N/A
srp_tuple_description,N/A,N/A,N/A,6939,"6,939 sqft",5 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Finest 3,4,5 BHK apartments in Sector 115 available for sale in Ivory County. This society is RERA approved and UPRERAPRJ256314 is the RERA number. Apartments in this complex are available in price ra",N/A,N/A,N/A,N/A
