,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
0,Sector 104,2,2,2,1099.0,Super Built-up,North-East,Ready To Move,Flat,1.62,2.838395061728395,Low,High Floor
1,Sector 37C,4,4,4,1848.0,Super Built-up,West,Ready To Move,Flat,1.67,1.740714285714286,Low,Low Floor
2,Sector 30,4,4,4,5138.0,Carpet,North,Ready To Move,Flat,15.5,9.4375,Low,Low Floor
3,Sector 89,3,3,3,1750.0,Built-up,East,Under Construction,Flat,1.7,1.7808695652173914,Medium,Low Floor
4,Sector 104,4,4,4,3150.0,Super Built-up,Unknown,Ready To Move,Flat,3.8,2.838395061728395,Low,Low Floor
5,Nirvana Country,3,4,3,1877.0,Super Built-up,Unknown,Ready To Move,Flat,2.8,9.31625,Low,Low Floor
6,Sector 37C,4,4,4,1932.0,Carpet,Unknown,Ready To Move,Flat,2.1,1.740714285714286,Very High,Low Floor
7,Sector 92,4,4,4,2137.0,Carpet,Unknown,Ready To Move,Flat,2.3,2.1133333333333333,Low,Low Floor
8,Sector 113,4,4,4,2660.0,Super Built-up,Unknown,Ready To Move,Flat,5.0,4.3125,Low,Mid Floor
9,Sector 66,4,3,4,2512.0,Carpet,Unknown,Under Construction,Flat,7.3,8.949036144578313,Medium,Mid Floor
10,Sector 69,3,3,3,2690.0,Carpet,North,Under Construction,Flat,5.3,3.0326829268292683,Low,Low Floor
11,Sector 1 Imt Manesar,3,3,3,1807.0,Super Built-up,Unknown,Ready To Move,Flat,1.63,5.243333333333333,Low,Mid Floor
12,Sector 65,2,2,2,1358.0,Super Built-up,East,Ready To Move,Flat,2.45,8.432784810126583,Low,Low Floor
13,Sector 69,4,4,4,3270.0,Built-up,East,Under Construction,Flat,7.5,3.0326829268292683,Low,High Floor
14,Sector 69,3,3,3,2550.0,Built-up,Unknown,Under Construction,Flat,5.2,3.0326829268292683,Low,Low Floor
15,Sector 65,2,2,2,1261.0,Super Built-up,East,Ready To Move,Flat,2.47,8.432784810126583,Low,High Floor
16,Sector 77,4,4,4,1950.0,Super Built-up,Unknown,Ready To Move,Flat,2.95,3.3463636363636367,Low,Low Floor
17,Sector 99,4,5,4,2835.0,Super Built-up,Unknown,Under Construction,Flat,3.2,3.950277777777778,Low,Low Floor
18,Sector 104,3,3,3,4242.0,Built-up,North,Under Construction,Flat,9.7,2.838395061728395,Low,Low Floor
19,Sector 37C,3,3,3,2762.0,Carpet,Unknown,Ready To Move,Flat,2.1,1.740714285714286,Low,High Floor
20,Sector 108,3,4,3,2072.0,Super Built-up,Unknown,Ready To Move,Flat,4.15,4.32938775510204,Low,Low Floor
21,Sector 66,3,3,3,3035.0,Super Built-up,Unknown,Under Construction,Flat,6.07,8.949036144578313,Low,Low Floor
22,Sector 84,4,4,4,2800.0,Carpet,Unknown,Ready To Move,Flat,3.25,2.2295238095238097,Low,Mid Floor
23,Sector 56,3,3,3,1456.0,Super Built-up,North,Ready To Move,Flat,2.5,4.152083333333334,Low,Mid Floor
24,Sector 108,3,3,3,1745.0,Super Built-up,East,Ready To Move,Flat,3.38,4.32938775510204,Low,Mid Floor
25,Sector 63A,3,3,3,2945.0,Super Built-up,North,Under Construction,Flat,6.7,4.715333333333334,Low,Low Floor
26,Sector 108,3,5,3,2343.0,Super Built-up,East,Ready To Move,Flat,6.0,4.32938775510204,Low,Low Floor
27,Sector 108,3,5,3,2343.0,Super Built-up,North-East,Ready To Move,Flat,4.93,4.32938775510204,Low,Low Floor
28,Sector 92,4,3,4,1882.0,Carpet,East,Ready To Move,Flat,2.0,2.1133333333333333,Low,Low Floor
29,Sector 37D,3,4,3,2469.0,Super Built-up,Unknown,Under Construction,Flat,3.87,2.6355,Low,Low Floor
30,Sector 53,3,4,3,2650.0,Built-up,Unknown,Ready To Move,Flat,9.0,7.78,Medium,Low Floor
31,Sector 65,4,5,4,3712.0,Super Built-up,Unknown,Under Construction,Flat,9.28,8.432784810126583,Low,High Floor
32,Sector 108,3,3,3,1711.0,Super Built-up,North,Ready To Move,Flat,3.35,4.32938775510204,Low,Low Floor
33,Sector 102,2,2,2,632.0,Super Built-up,Unknown,Ready To Move,Flat,1.1,2.667326732673267,Low,Low Floor
34,Sector 79,3,3,3,2120.0,Super Built-up,Unknown,Under Construction,Flat,3.49,2.543333333333333,High,Low Floor
35,Sector 65,3,3,3,2054.0,Super Built-up,Unknown,Ready To Move,Flat,3.7,8.432784810126583,Low,High Floor
36,Sector 104,3,3,3,2450.0,Super Built-up,Unknown,Ready To Move,Flat,3.9,2.838395061728395,Low,Low Floor
37,Sector 99,3,3,3,2780.0,Super Built-up,Unknown,Ready To Move,Flat,3.7,3.950277777777778,Low,High Floor
38,Sector 65,3,3,3,2054.0,Super Built-up,Unknown,Ready To Move,Flat,3.65,8.432784810126583,Low,Low Floor
39,Sector 52,4,5,4,3030.0,Super Built-up,Unknown,Ready To Move,Flat,4.5,5.501818181818181,Low,Mid Floor
40,Sector 70A,2,2,2,680.0,Carpet,North-East,Ready To Move,Flat,0.95,3.154516129032258,Low,Low Floor
41,Sector 59,3,4,3,2295.0,Super Built-up,Unknown,Ready To Move,Flat,5.25,6.363809523809524,Low,High Floor
42,DLF Phase 5,4,4,4,4500.0,Carpet,East,Ready To Move,Flat,12.25,6.720000000000001,Low,Mid Floor
43,Sector 66,5,5,5,3670.0,Carpet,Unknown,Ready To Move,Flat,7.0,8.949036144578313,Low,Low Floor
44,Nirvana Country,2,2,2,1490.0,Super Built-up,Unknown,Ready To Move,Flat,2.15,9.31625,Low,Low Floor
45,Sector 86,3,3,3,1930.0,Super Built-up,Unknown,Ready To Move,Flat,2.1,2.555897435897436,Low,Low Floor
46,Sector 59,3,3,3,2595.0,Super Built-up,Unknown,Ready To Move,Flat,6.15,6.363809523809524,Low,High Floor
47,Sector 108,3,4,3,2072.0,Super Built-up,Unknown,Ready To Move,Flat,4.2,4.32938775510204,Low,Low Floor
48,Sector 79,3,3,3,2125.0,Super Built-up,Unknown,Under Construction,Flat,2.95,2.543333333333333,Low,Low Floor
49,Sector 60,4,5,4,2800.0,Super Built-up,East,Ready To Move,Flat,5.65,4.679047619047619,Low,Low Floor
50,Sector 89,3,4,3,2345.0,Super Built-up,Unknown,Under Construction,Flat,3.36,1.7808695652173914,Low,Low Floor
51,Sector 37D,3,3,3,2623.0,Built-up,Unknown,Under Construction,Flat,4.3,2.6355,Low,High Floor
52,Sector 99,3,4,3,2750.0,Super Built-up,Unknown,Ready To Move,Flat,3.79,3.950277777777778,Low,Low Floor
53,Sector 81,3,4,3,2103.0,Super Built-up,North-East,Ready To Move,Flat,3.8,3.7062857142857135,Low,High Floor
54,Sector 99,4,4,4,3360.0,Super Built-up,Unknown,Ready To Move,Flat,4.53,3.950277777777778,Low,Low Floor
55,Sector 72,3,4,3,2185.0,Super Built-up,North,Ready To Move,Flat,4.07,10.318928571428572,Low,Low Floor
