,bedroom,bathroom,configuration,area,area_type,age_possession,property_type,sector_encoded,price
0,2,2,2,1099.0,3.0,1.0,0.0,2.838395061728395,1.62
1,4,4,4,1848.0,3.0,1.0,0.0,1.740714285714286,1.67
2,4,4,4,5138.0,1.0,1.0,0.0,9.4375,15.5
3,3,3,3,1750.0,0.0,2.0,0.0,1.7808695652173914,1.7
4,4,4,4,3150.0,3.0,1.0,0.0,2.838395061728395,3.8
5,3,4,3,1877.0,3.0,1.0,0.0,9.31625,2.8
6,4,4,4,1932.0,1.0,1.0,0.0,1.740714285714286,2.1
7,4,4,4,2137.0,1.0,1.0,0.0,2.1133333333333333,2.3
8,4,4,4,2660.0,3.0,1.0,0.0,4.3125,5.0
9,4,3,4,2512.0,1.0,2.0,0.0,8.949036144578313,7.3
10,3,3,3,2690.0,1.0,2.0,0.0,3.0326829268292683,5.3
11,3,3,3,1807.0,3.0,1.0,0.0,5.243333333333333,1.63
12,2,2,2,1358.0,3.0,1.0,0.0,8.432784810126583,2.45
13,4,4,4,3270.0,0.0,2.0,0.0,3.0326829268292683,7.5
14,3,3,3,2550.0,0.0,2.0,0.0,3.0326829268292683,5.2
15,2,2,2,1261.0,3.0,1.0,0.0,8.432784810126583,2.47
16,4,4,4,1950.0,3.0,1.0,0.0,3.3463636363636367,2.95
17,4,5,4,2835.0,3.0,2.0,0.0,3.950277777777778,3.2
18,3,3,3,4242.0,0.0,2.0,0.0,2.838395061728395,9.7
19,3,3,3,2762.0,1.0,1.0,0.0,1.740714285714286,2.1
20,3,4,3,2072.0,3.0,1.0,0.0,4.32938775510204,4.15
21,3,3,3,3035.0,3.0,2.0,0.0,8.949036144578313,6.07
22,4,4,4,2800.0,1.0,1.0,0.0,2.2295238095238097,3.25
23,3,3,3,1456.0,3.0,1.0,0.0,4.152083333333334,2.5
24,3,3,3,1745.0,3.0,1.0,0.0,4.32938775510204,3.38
25,3,3,3,2945.0,3.0,2.0,0.0,4.715333333333334,6.7
26,3,5,3,2343.0,3.0,1.0,0.0,4.32938775510204,6.0
27,3,5,3,2343.0,3.0,1.0,0.0,4.32938775510204,4.93
28,4,3,4,1882.0,1.0,1.0,0.0,2.1133333333333333,2.0
29,3,4,3,2469.0,3.0,2.0,0.0,2.6355,3.87
30,3,4,3,2650.0,0.0,1.0,0.0,7.78,9.0
31,4,5,4,3712.0,3.0,2.0,0.0,8.432784810126583,9.28
32,3,3,3,1711.0,3.0,1.0,0.0,4.32938775510204,3.35
33,2,2,2,632.0,3.0,1.0,0.0,2.667326732673267,1.1
34,3,3,3,2120.0,3.0,2.0,0.0,2.543333333333333,3.49
35,3,3,3,2054.0,3.0,1.0,0.0,8.432784810126583,3.7
36,3,3,3,2450.0,3.0,1.0,0.0,2.838395061728395,3.9
37,3,3,3,2780.0,3.0,1.0,0.0,3.950277777777778,3.7
38,3,3,3,2054.0,3.0,1.0,0.0,8.432784810126583,3.65
39,4,5,4,3030.0,3.0,1.0,0.0,5.501818181818181,4.5
40,2,2,2,680.0,1.0,1.0,0.0,3.154516129032258,0.95
41,3,4,3,2295.0,3.0,1.0,0.0,6.363809523809524,5.25
42,4,4,4,4500.0,1.0,1.0,0.0,6.720000000000001,12.25
43,5,5,5,3670.0,1.0,1.0,0.0,8.949036144578313,7.0
44,2,2,2,1490.0,3.0,1.0,0.0,9.31625,2.15
45,3,3,3,1930.0,3.0,1.0,0.0,2.555897435897436,2.1
46,3,3,3,2595.0,3.0,1.0,0.0,6.363809523809524,6.15
47,3,4,3,2072.0,3.0,1.0,0.0,4.32938775510204,4.2
48,3,3,3,2125.0,3.0,2.0,0.0,2.543333333333333,2.95
49,4,5,4,2800.0,3.0,1.0,0.0,4.679047619047619,5.65
50,3,4,3,2345.0,3.0,2.0,0.0,1.7808695652173914,3.36
51,3,3,3,2623.0,0.0,2.0,0.0,2.6355,4.3
52,3,4,3,2750.0,3.0,1.0,0.0,3.950277777777778,3.79
53,3,4,3,2103.0,3.0,1.0,0.0,3.7062857142857135,3.8
54,4,4,4,3360.0,3.0,1.0,0.0,3.950277777777778,4.53
55,3,4,3,2185.0,3.0,1.0,0.0,10.318928571428572,4.07
56,3,3,3,1920.0,1.0,1.0,0.0,2.1133333333333333,2.4
57,4,5,4,3291.0,1.0,2.0,0.0,4.98,11.5
58,3,3,3,2780.0,3.0,1.0,0.0,3.950277777777778,3.75
59,3,4,3,2343.0,3.0,1.0,0.0,4.32938775510204,5.1
60,3,4,3,2700.0,3.0,1.0,0.0,4.152083333333334,2.95
61,2,2,2,1381.0,3.0,1.0,0.0,4.32938775510204,2.81
62,3,3,3,1998.0,3.0,1.0,0.0,9.31625,3.2
