Unnamed: 0,property_name,per_sqft,bedroom,bathroom,configuration,area,area_type,floor_number,facing,age_possession,location,property_type,price_cr,Luxury_score,society_encoded,sector_encoded
0,Sector 104,14740.0,2,2,2,1099.0,Super Built-up,26.0,North-East,Ready To Move,Hero Homes,Flat,1.62,6,2.0712244897959184,2.838395061728395
1,Sector 37C,9010.0,4,4,4,1848.0,Super Built-up,0.0,West,Ready To Move,Piedmont Taksila heights,Flat,1.67,0,1.842,1.740714285714286
2,Sector 30,30167.0,4,4,4,5138.0,Carpet,0.0,North,Ready To Move,Unitech The World Spa West,Flat,15.5,0,13.566666666666668,9.4375
3,Sector 89,9714.0,3,3,3,1750.0,Built-up,0.0,East,Under Construction,Ace Palm Floors,Flat,1.7,12,1.7,1.7808695652173914
4,Sector 104,12063.0,4,4,4,3150.0,Super Built-up,0.0,Unknown,Ready To Move,ATS Triumph,Flat,3.8,0,3.817222222222222,2.838395061728395
5,Nirvana Country,14917.0,3,4,3,1877.0,Super Built-up,0.0,Unknown,Ready To Move,Unitech Fresco,Flat,2.8,0,2.635,9.31625
6,Sector 37C,10869.0,4,4,4,1932.0,Carpet,0.0,Unknown,Ready To Move,Piedmont Taksila heights,Flat,2.1,47,1.842,1.740714285714286
7,Sector 92,10762.0,4,4,4,2137.0,Carpet,0.0,Unknown,Ready To Move,Sare Homes,Flat,2.3,0,1.6861111111111111,2.1133333333333333
8,Sector 113,18796.0,4,4,4,2660.0,Super Built-up,10.0,Unknown,Ready To Move,La Vida by Tata Housing,Flat,5.0,0,4.3125,4.3125
9,Sector 66,29060.0,4,3,4,2512.0,Carpet,10.0,Unknown,Under Construction,Smartworld The Edition,Flat,7.3,17,6.6850000000000005,8.949036144578313
10,Sector 69,19702.0,3,3,3,2690.0,Carpet,0.0,North,Under Construction,Smartworld sky arc,Flat,5.3,0,5.3,3.0326829268292683
11,Sector 1 Imt Manesar,9020.0,3,3,3,1807.0,Super Built-up,8.0,Unknown,Ready To Move,MSL Apartments,Flat,1.63,0,1.63,5.243333333333333
12,Sector 65,18041.0,2,2,2,1358.0,Super Built-up,0.0,East,Ready To Move,M3M Heights,Flat,2.45,0,3.0024,8.432784810126583
13,Sector 69,22935.0,4,4,4,3270.0,Built-up,31.0,East,Under Construction,Smart World Sky Arc,Flat,7.5,0,7.5,3.0326829268292683
14,Sector 69,20392.0,3,3,3,2550.0,Built-up,0.0,Unknown,Under Construction,Smartworld Sky Arc,Flat,5.2,0,5.2,3.0326829268292683
15,Sector 65,19627.0,2,2,2,1261.0,Super Built-up,37.0,East,Ready To Move,M3M Heights,Flat,2.47,0,3.0024,8.432784810126583
16,Sector 77,17332.0,4,4,4,1950.0,Super Built-up,0.0,Unknown,Ready To Move,Emaar MGF Palm Hills,Flat,2.95,6,2.6166666666666667,3.3463636363636367
17,Sector 99,11287.0,4,5,4,2835.0,Super Built-up,0.0,Unknown,Under Construction,Assotech Blith,Flat,3.2,0,5.1657142857142855,3.950277777777778
18,Sector 104,22866.0,3,3,3,4242.0,Built-up,0.0,North,Under Construction,Delphine Central Park Estates,Flat,9.7,0,9.7,2.838395061728395
19,Sector 37C,7603.0,3,3,3,2762.0,Carpet,20.0,Unknown,Ready To Move,ILD Greens,Flat,2.1,0,1.8125,1.740714285714286
20,Sector 108,20028.0,3,4,3,2072.0,Super Built-up,0.0,Unknown,Ready To Move,Sobha City,Flat,4.15,0,4.504222222222222,4.32938775510204
21,Sector 66,20000.0,3,3,3,3035.0,Super Built-up,0.0,Unknown,Under Construction,Smartworld The Edition,Flat,6.07,0,6.6850000000000005,8.949036144578313
22,Sector 84,11607.0,4,4,4,2800.0,Carpet,4.0,Unknown,Ready To Move,SS Linden Floors,Flat,3.25,0,3.1740000000000004,2.2295238095238097
