,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location
0,Individual,"2 BHK Flat in Sector 104, Gurgaon","2 BHK Flat in Sector 104, Gurgaon",₹1.62 Cr,"₹14,740 /sqft",2.0,2.0,2 BHK,1099.0,"1,099 sqft",Super Built-up,26 floor,North-East,Ready To Move,,2.0,,Garden,"This 2 bhk flat is located in hero homes, which houses some of the most spacious flats in sector 104 gurgaon. This property faces the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1099 sq.Ft. The flat has a total of 26 floors and this property is situated on 11th floor. As the pr...",Hero Homes,Hero Homes,North-East Facing Private Garden
1,Individual,"4 BHK Flat in Sector 37C, Gurgaon","4 BHK Flat in Sector 37C, Gurgaon",₹1.67 Cr,"₹9,010 /sqft",4.0,4.0,4 BHK,1848.0,"1,848 sqft",Super Built-up,,West,Ready To Move,,3.0,,,"Check out this 4 bhk apartment for sale in piedmont taksila heights, a popular residential project that houses in-Demand flats in sector 37c gurgaon. This is a north-West-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1848 sq.Ft. This flat lies on the 10th level of a 15 storey building. Being a ready to move pro...",Piedmont Taksila heights,Piedmont Taksila heights,"Alipne, Euro, Suncity...... Nearby Park Hospital Nearby"
3,Project,"3, 4 BHK Flat in Sector 109, Gurgaon","3, 4 BHK Flat in Sector 109, Gurgaon",₹4.97 Cr,,4.0,,4 BHK,2925.0,"2,925 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 109, now available for sale at Chintels Serenity. This society offers apartments in the price range of Rs. 3.13 - 4.97 Cr. Chintels Serenity is a RERA- registered society and 125 OF 2017 DATED 28.08.2017 is the RERA registration number. Chintels Serenity apartments are available in multiples sizes, ranging from 1,955 - 2,925 sqft SUPER area",,,Nearby : Dwarka Expressway Gurgaon Railway Station
4,Project,"4 BHK Flat in Sector 70, Gurgaon","4 BHK Flat in Sector 70, Gurgaon",₹5.56 Cr,,4.0,,4 BHK,1858.0,"1,858 sqft",,,,,,,,,"Beautiful 4 BHK apartments in Sector 70, are now available in Tulip Crimson housing project. This society is RERA approved and GGM/834/566/2024/61 DATED 12.08.2024 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 5.56 Cr. Tulip Crimson has apartments in multiple configurations, in range of 1,858 sqft",,,Nearby : The Vivekananda School Dwarka Expressway
5,Project,"5 BHK Flat in Sector 70, Gurgaon","5 BHK Flat in Sector 70, Gurgaon",₹5.14 Cr,,5.0,,5 BHK,2459.0,"2,459 sqft",,,,,,,,,"Looking for your dream home? Explore 5 BHK apartments in Sector 70, now available in Tulip Melrose. Tulip Melrose is a RERA- registered society and GGM/1007/739/2025/110 DATED 07.11.2025 is the RERA registration number. Here units have different sizes, mostly in range of 2,459 sqft CARPET area. Prices of apartments in this project, vary between Rs. 5.14 Cr",,,"Nearby : Shri Ram School, Sector 70 Omaxe City Centre"
8,Project,"3, 4, 5 BHK Flat in Sector 22, Gurgaon","3, 4, 5 BHK Flat in Sector 22, Gurgaon",₹21.73 Cr,,5.0,,5 BHK,10105.0,"10,105 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 22, are now available in Ambience Creacions housing project. This society is RERA approved and 318 OF 2017 DATED 17.10.2017 is the RERA number. Apartment prices in this housing society vary in the range of Rs. 5.98 - 21.73 Cr. Ambience Creacions apartments are available in multiples sizes, ranging from 2,781 - 10,105 sqft SUPER area",,,Nearby : Hyatt Place Old Delhi Gurgaon Road
15,Project,"3, 4, 5 BHK Flat in Sector 53, Gurgaon","3, 4, 5 BHK Flat in Sector 53, Gurgaon",₹14.73 Cr,,4.0,,4 BHK,2822.0,"2,822 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 53, now available in Tulip Monsella. This society offers apartments in the price range of Rs. 11.49 - 18.01 Cr. Apartments in Tulip Monsella have CARPET area ranging between 1,638 - 2,822 sqft. Tulip Monsella 's RERA registration number is GGM/554/286/2022/29DATED25.04.2022",,,Nearby : Mavens Inn Sanar International Hospital
16,Project,"3, 4, 5 BHK Flat in Sector 53, Gurgaon","3, 4, 5 BHK Flat in Sector 53, Gurgaon",₹18.01 Cr,,5.0,,5 BHK,2822.0,"2,822 sqft",,,,,,,,,"Looking for your dream home? Explore 3,4,5 BHK apartments in Sector 53, now available in Tulip Monsella. This society offers apartments in the price range of Rs. 11.49 - 18.01 Cr. Apartments in Tulip Monsella have CARPET area ranging between 1,638 - 2,822 sqft. Tulip Monsella 's RERA registration number is GGM/554/286/2022/29DATED25.04.2022",,,Nearby : Mavens Inn Sanar International Hospital
19,Project,"4 BHK Flat in Sector 63, Gurgaon","4 BHK Flat in Sector 63, Gurgaon",₹8.49 Cr,,4.0,,4 BHK,3950.0,"3,950 sqft",,,,,,,,,"Finest 4 BHK apartments in Sector 63 available for sale in DLF The Arbour. Apartment prices in this housing society vary in the range of Rs. 8.49 Cr. DLF The Arbour has apartments in multiple configurations, in range of 3,950 sqft. DLF The Arbour 's RERA registration number is GGM/671/403/2023/15 DATED 23.01.2023",,,Nearby : AIPL Business Club Hilton Hotel Gurugram
31,Project,"2, 3, 4 BHK Flat in Sector 103, Gurgaon","2, 3, 4 BHK Flat in Sector 103, Gurgaon",₹4.56 Cr,,4.0,,4 BHK,2401.0,"2,401 sqft",,,,,,,,,"Check out 2,3,4 BHK apartments in Sector 103, now available for sale at Riviera At AIPL Lakecity. Riviera At AIPL Lakecity is a RERA- registered society and GGM/1019/751/2025/122 DATED 08.12.2025 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.88 - 4.56 Cr. Apartments in Riviera At AIPL Lakecity have CARPET area ranging between 1,518 - 2,401 sqft",,,Nearby : Neo Centra Mall Delhi Public School
36,Project,"3, 4, 5 BHK Flat in Sector 104, Gurgaon","3, 4, 5 BHK Flat in Sector 104, Gurgaon",₹4.32 Cr,,4.0,,4 BHK,2250.0,"2,250 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 104, are now available in Satya Levante Residences housing project. This society offers apartments in the price range of Rs. 3.54 - 5.63 Cr. Apartments in Satya Levante Residences have CARPET area ranging between 1,470 - 2,250 sqft. Satya Levante Residences is a RERA- registered society and GGM/1000/732/2025/103 DATED 16.10.2025 is the RERA registration num",,,Nearby : IGI Airport Gurgaon Railway Station
37,Project,"3, 4, 5 BHK Flat in Sector 104, Gurgaon","3, 4, 5 BHK Flat in Sector 104, Gurgaon",₹5.63 Cr,,5.0,,5 BHK,2250.0,"2,250 sqft",,,,,,,,,"Beautiful 3,4,5 BHK apartments in Sector 104, are now available in Satya Levante Residences housing project. This society offers apartments in the price range of Rs. 3.54 - 5.63 Cr. Apartments in Satya Levante Residences have CARPET area ranging between 1,470 - 2,250 sqft. Satya Levante Residences is a RERA- registered society and GGM/1000/732/2025/103 DATED 16.10.2025 is the RERA registration num",,,Nearby : IGI Airport Gurgaon Railway Station
39,Project,"3, 4 BHK Flat in Sector 80, Gurgaon","3, 4 BHK Flat in Sector 80, Gurgaon",₹4.08 Cr,,4.0,,4 BHK,1521.0,"1,521 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 80 available for sale in Ashiana Aaroham. This society is RERA approved and GGM/1014/746/2025/117 DATED 25.11.2025 is the RERA number. This society offers apartments in the price range of Rs. 2.99 - 4.08 Cr. Ashiana Aaroham has apartments in multiple configurations, in range of 1,057 - 1,521 sqft",,,"Nearby : Elan Mercado Mall Hyatt Regency, Gurugram"
41,Project,"3, 4 BHK Flat in Sector 86, Gurgaon","3, 4 BHK Flat in Sector 86, Gurgaon",₹4.7 Cr,,4.0,,4 BHK,1998.0,"1,998 sqft",,,,,,,,,"Finest 3,4 BHK apartments in Sector 86 available for sale in Emaar Serenity Hills. Apartments in Emaar Serenity Hills have CARPET area ranging between 1,182 - 1,998 sqft. This society is RERA approved and GGM/993/725/2025/96 DATED 16.10.2025 is the RERA number. This society offers apartments in the price range of Rs. 2.79 - 4.7 Cr",,,Nearby : Aarvy Healthcare Dwarka Expressway
44,Project,"3, 4 BHK Flat in Sector 63A, Gurgaon","3, 4 BHK Flat in Sector 63A, Gurgaon",₹7.7 Cr,,3.0,,3 BHK,2157.0,"2,157 sqft",,,,,,,,,"Check out 3,4 BHK apartments in Sector 63A, now available for sale at TARC Ishva. This society is RERA approved and GGM/865/597/2024/92 DATED 04.09.2024 is the RERA number. Apartments in TARC Ishva have CARPET area ranging between 1,588 - 2,157 sqft. Apartments in this complex are available in price range of Rs. 7.7 - 10.48 Cr",,,Nearby : C.G.S international School Grand Hyatt
